,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,10.0,0,6.96669999911137e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,0
1,1,10.0,1,0.003492749999992384,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,0
2,2,12.0,3,0.00501916700000038,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,0
3,4,12.0,5,0.006261084000001915,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,0
4,8,12.0,9,0.00751387500000078,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,0
5,16,12.0,17,0.008869208999996658,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,0
6,32,18.0,36,0.010455292000003169,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,0
7,64,18.0,68,0.012314333999995597,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,0
8,128,18.0,132,0.015250709000000029,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,0
9,256,18.0,260,0.021959249999994768,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,0
10,512,18.0,516,0.041698374999995735,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,0
11,0,6.0,516,0.04543099999999356,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",25,512,1
12,1,8.0,518,0.04814837499999669,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",25,512,1
13,2,8.0,519,0.050752708999993956,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",25,512,1
14,4,8.0,521,0.05358933399999444,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",25,512,1
15,8,11.0,527,0.056660958999998456,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",25,512,1
16,16,12.0,536,0.05982391700000278,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",25,512,1
17,32,14.0,553,0.06388262499999087,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",25,512,1
18,64,14.0,585,0.06952562499999715,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",25,512,1
19,128,14.0,649,0.07870749999999305,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",25,512,1
20,256,14.0,777,0.09613154199999485,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",25,512,1
21,512,14.0,1033,0.1362228750000014,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",25,512,1
22,0,8.0,1033,0.1407434589999923,"[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",25,512,2
23,1,10.0,1035,0.14561895900000366,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",25,512,2
24,2,10.0,1036,0.1498528340000007,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",25,512,2
25,4,10.0,1038,0.15429154199999573,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",25,512,2
26,8,12.0,1043,0.15920358399999657,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0]",25,512,2
27,16,12.0,1051,0.1645237089999938,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0]",25,512,2
28,32,16.0,1069,0.17179466700000035,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0]",25,512,2
29,64,18.0,1102,0.18203416699999764,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",25,512,2
30,128,18.0,1166,0.19823220899999683,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",25,512,2
31,256,18.0,1294,0.22682829199999333,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",25,512,2
32,512,18.0,1550,0.2867444169999942,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",25,512,2
33,0,11.0,1550,0.3112322500000033,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",25,512,3
34,1,11.0,1551,0.317621416999998,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",25,512,3
35,2,11.0,1552,0.32349137500000325,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",25,512,3
36,4,11.0,1554,0.32950570900000287,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",25,512,3
37,8,12.0,1559,0.3363178749999918,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",25,512,3
38,16,14.0,1568,0.34428258399999834,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",25,512,3
39,32,16.0,1585,0.3540869999999927,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",25,512,3
40,64,17.0,1618,0.3681364170000023,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",25,512,3
41,128,17.0,1682,0.3896903750000007,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",25,512,3
42,256,17.0,1810,0.42950041699999986,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",25,512,3
43,512,17.0,2066,0.5109741670000005,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",25,512,3
44,0,9.0,2066,0.5193835419999999,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",25,512,4
45,1,9.0,2067,0.528031624999997,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",25,512,4
46,2,9.0,2068,0.5356458339999932,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",25,512,4
47,4,11.0,2071,0.543628083999991,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",25,512,4
48,8,11.0,2075,0.552856208999998,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",25,512,4
49,16,13.0,2084,0.5638102919999994,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",25,512,4
50,32,15.0,2101,0.5777554590000022,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",25,512,4
51,64,15.0,2133,0.5958889169999964,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",25,512,4
52,128,15.0,2197,0.6249916249999927,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",25,512,4
53,256,15.0,2325,0.6763376250000022,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",25,512,4
54,512,15.0,2581,0.7776301250000017,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]",25,512,4
55,0,7.0,2581,0.7873501669999996,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",25,512,5
56,1,9.0,2583,0.7967020840000032,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
57,2,11.0,2585,0.806085834000001,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
58,4,13.0,2588,0.8156917089999922,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
59,8,15.0,2593,0.8261219169999947,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
60,16,15.0,2601,0.8380917089999969,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
61,32,15.0,2617,0.8533438340000004,"[0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
62,64,17.0,2650,0.8749212919999962,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
63,128,17.0,2714,0.9090070839999953,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
64,256,17.0,2842,0.9706823749999955,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
65,512,17.0,3098,1.0987875419999966,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",25,512,5
66,0,10.0,3098,1.110018249999996,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
67,1,10.0,3099,1.121604333999997,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
68,2,10.0,3100,1.1326876250000026,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
69,4,10.0,3102,1.1446902090000037,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",25,512,6
70,8,12.0,3107,1.159548916999995,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]",25,512,6
71,16,12.0,3115,1.1807179169999955,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]",25,512,6
72,32,14.0,3132,1.200999374999995,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",25,512,6
73,64,14.0,3164,1.2415234999999996,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",25,512,6
74,128,14.0,3228,1.29405204199999,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",25,512,6
75,256,14.0,3356,1.396964749999995,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",25,512,6
76,512,14.0,3612,1.5860146670000006,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]",25,512,6
77,0,10.0,3612,1.6016435419999908,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25,512,7
78,1,10.0,3613,1.6230828340000016,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25,512,7
79,2,10.0,3614,1.6380811669999957,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25,512,7
80,4,10.0,3616,1.657694124999992,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25,512,7
81,8,14.0,3622,1.672197459000003,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",25,512,7
82,16,14.0,3630,1.6905053339999938,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",25,512,7
83,32,14.0,3646,1.7194020419999987,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",25,512,7
84,64,16.0,3679,1.7605702089999937,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,7
85,128,16.0,3743,1.8105249589999914,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,7
86,256,16.0,3871,1.911963833999991,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,7
87,512,16.0,4127,2.0804011249999945,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,7
88,0,11.0,4127,2.0953195419999986,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",25,512,8
89,1,11.0,4128,2.110014417000002,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",25,512,8
90,2,11.0,4129,2.1253436669999957,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",25,512,8
91,4,11.0,4131,2.1415833340000034,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",25,512,8
92,8,11.0,4135,2.158348042,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",25,512,8
93,16,13.0,4144,2.17744845899999,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",25,512,8
94,32,14.0,4161,2.201818375000002,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]",25,512,8
95,64,15.0,4194,2.2357649169999974,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]",25,512,8
96,128,15.0,4258,2.2903092920000034,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]",25,512,8
97,256,15.0,4386,2.387618291999999,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]",25,512,8
98,512,15.0,4642,2.5764714999999967,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]",25,512,8
99,0,6.0,4642,2.5930639999999983,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",25,512,9
100,1,8.0,4644,2.6088676669999984,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",25,512,9
101,2,8.0,4645,2.624574709000001,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",25,512,9
102,4,10.0,4648,2.6414635000000004,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",25,512,9
103,8,12.0,4653,2.659906958999997,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",25,512,9
104,16,12.0,4661,2.6810294590000012,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",25,512,9
105,32,14.0,4678,2.7072600420000015,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",25,512,9
106,64,15.0,4711,2.745664708999996,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",25,512,9
107,128,15.0,4775,2.8066544590000007,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",25,512,9
108,256,15.0,4903,2.9157599999999917,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",25,512,9
109,512,15.0,5159,3.122663541999998,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",25,512,9
110,0,12.0,5159,3.139954833999994,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,10
111,1,12.0,5160,3.157760166999992,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,10
112,2,12.0,5161,3.1755999169999996,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,10
113,4,13.0,5164,3.1940452919999984,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",25,512,10
114,8,15.0,5169,3.2137761249999954,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,10
115,16,15.0,5177,3.235897874999992,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,10
116,32,15.0,5193,3.2650643340000016,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,10
117,64,15.0,5225,3.3066565000000026,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,10
118,128,15.0,5289,3.374130334,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,10
119,256,15.0,5417,3.4952365420000007,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,10
120,512,15.0,5673,3.7234250839999987,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",25,512,10
121,0,9.0,5673,3.7429600840000035,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",25,512,11
122,1,9.0,5674,3.7630991249999965,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",25,512,11
123,2,9.0,5675,3.7828407089999985,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",25,512,11
124,4,11.0,5678,3.802727958999995,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1]",25,512,11
125,8,13.0,5683,3.8241564169999975,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1]",25,512,11
126,16,14.0,5692,3.8490080839999905,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",25,512,11
127,32,16.0,5709,3.879731708999998,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,11
128,64,16.0,5741,3.9236990419999955,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,11
129,128,16.0,5805,3.9951715839999906,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,11
130,256,16.0,5933,4.125133458999997,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,11
131,512,16.0,6189,4.371799416999991,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",25,512,11
132,0,11.0,6189,4.391370834,"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
133,1,11.0,6190,4.41137587499999,"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
134,2,11.0,6191,4.431035334000001,"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
135,4,13.0,6194,4.451684458999992,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
136,8,13.0,6198,4.473852249999993,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
137,16,15.0,6207,4.50000683399999,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
138,32,15.0,6223,4.533298875,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
139,64,15.0,6255,4.581101750000002,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
140,128,15.0,6319,4.658814583999998,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
141,256,15.0,6447,4.796564042,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
142,512,15.0,6703,5.059268041999999,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]",25,512,12
143,0,9.0,6703,5.08032708399999,"[1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25,512,13
144,1,9.0,6704,5.101347292,"[1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25,512,13
145,2,10.0,6706,5.12254158399999,"[1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",25,512,13
146,4,10.0,6708,5.145245708999994,"[1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",25,512,13
147,8,14.0,6714,5.169107666999992,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",25,512,13
